id,json
1,"[1,, 3, @4, 5, ---6, 7, 8, 9]"
2,"[40, 20, 90, 10]"
3,[-5]
9,"[2, -0]"
5,"[2, -5, -5]"
8,"[1, 1, 1, 1, 1]"
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
11,"[40, 20, 90, 10]"
12,[-5]
13,"[2, -0]"
14,"[2, -5, -5]"
15,"[1, 1, 1, 1, 1]"
16,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
17,"[40, 20, 90, 10]"
18,[-5]
19,"[2, -0]"
20,"[2, -5, -5]"
21,"[1, 1, 1, 1, 1]"
22,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
23,"[40, 20, 90, 10]"
24,[-5]
25,"[2, -0]"
26,"[2, -5, -5]"
27,"[1, 1, 1, 1, 1]"
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
29,"[40, 20, 90, 10]"
30,[-5]
31,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
32,"[40, 20, 90, 10]"
33,[-5]
34,"[2, -0]"
35,"[2, -5, -5]"
36,"[1, 1, 1, 1, 1]"
37,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
38,"[40, 20, 90, 10]"
39,[-5]
40,"[2, -0]"
41,"[2, -5, -5]"
42,"[1, 1, 1, 1, 1]"
43,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
44,"[40, 20, 90, 10]"
45,[-5]
46,"[2, -0]"
47,"[2, -5, -5]"
48,"[1, 1, 1, 1, 1]"
49,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
50,"[40, 20, 90, 10]"
51,[-5]
52,"[2, -0]"
53,"[2, -5, -5]"
54,"[1, 1, 1, 1, 1]"
55,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
56,"[40, 20, 90, 10]"
57,[-5]
58,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
59,"[40, 20, 90, 10]"
60,[-5]
61,"[2, -0]"
62,"[2, -5, -5]"
63,"[1, 1, 1, 1, 1]"
64,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
65,"[40, 20, 90, 10]"
66,[-5]
67,"[2, -0]"
68,"[2, -5, -5]"
69,"[1, 1, 1, 1, 1]"
70,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
71,"[40, 20, 90, 10]"
72,[-5]
73,"[2, -0]"
74,"[2, -5, -5]"
75,"[1, 1, 1, 1, 1]"
76,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
77,"[40, 20, 90, 10]"
78,[-5]
79,"[2, -0]"
80,"[2, -5, -5]"
81,"[1, 1, 1, 1, 1]"
82,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
83,"[40, 20, 90, 10]"
84,[-5]
85,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
86,"[40, 20, 90, 10]"
87,[-5]
88,"[2, -0]"
89,"[2, -5, -5]"
90,"[1, 1, 1, 1, 1]"
91,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
92,"[40, 20, 90, 10]"
93,[-5]
94,"[2, -0]"
95,"[2, -5, -5]"
96,"[1, 1, 1, 1, 1]"
97,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
98,"[40, 20, 90, 10]"
99,[-5]
100,"[2, -0]"
101,"[2, -5, -5]"
102,"[1, 1, 1, 1, 1]"
103,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
104,"[40, 20, 90, 10]"
105,[-5]
106,"[2, -0]"
107,"[2, -5, -5]"
108,"[1, 1, 1, 1, 1]"
109,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
110,"[40, 20, 90, 10]"
111,[-5]
112,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
113,"[40, 20, 90, 10]"
114,[-5]
115,"[2, -0]"
116,"[2, -5, -5]"
117,"[1, 1, 1, 1, 1]"
118,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
119,"[40, 20, 90, 10]"
120,[-5]
121,"[2, -0]"
122,"[2, -5, -5]"
123,"[1, 1, 1, 1, 1]"
124,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
125,"[40, 20, 90, 10]"
126,[-5]
127,"[2, -0]"
128,"[2, -5, -5]"
129,"[1, 1, 1, 1, 1]"
130,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
131,"[40, 20, 90, 10]"
132,[-5]
133,"[2, -0]"
134,"[2, -5, -5]"
135,"[1, 1, 1, 1, 1]"
136,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
137,"[40, 20, 90, 10]"
138,[-5]
139,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
140,"[40, 20, 90, 10]"
141,[-5]
142,"[2, -0]"
143,"[2, -5, -5]"
144,"[1, 1, 1, 1, 1]"
145,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
146,"[40, 20, 90, 10]"
147,[-5]
148,"[2, -0]"
149,"[2, -5, -5]"
150,"[1, 1, 1, 1, 1]"
151,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
152,"[40, 20, 90, 10]"
153,[-5]
154,"[2, -0]"
155,"[2, -5, -5]"
156,"[1, 1, 1, 1, 1]"
157,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
158,"[40, 20, 90, 10]"
159,[-5]
160,"[2, -0]"
161,"[2, -5, -5]"
162,"[1, 1, 1, 1, 1]"
163,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
164,"[40, 20, 90, 10]"
165,[-5]
166,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
167,"[40, 20, 90, 10]"
168,[-5]
169,"[2, -0]"
170,"[2, -5, -5]"
171,"[1, 1, 1, 1, 1]"
172,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
173,"[40, 20, 90, 10]"
174,[-5]
175,"[2, -0]"
176,"[2, -5, -5]"
177,"[1, 1, 1, 1, 1]"
178,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
179,"[40, 20, 90, 10]"
180,[-5]
181,"[2, -0]"
182,"[2, -5, -5]"
183,"[1, 1, 1, 1, 1]"
184,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
185,"[40, 20, 90, 10]"
186,[-5]
187,"[2, -0]"
188,"[2, -5, -5]"
189,"[1, 1, 1, 1, 1]"
190,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
191,"[40, 20, 90, 10]"
192,[-5]
193,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
194,"[40, 20, 90, 10]"
195,[-5]
196,"[2, -0]"
197,"[2, -5, -5]"
198,"[1, 1, 1, 1, 1]"
199,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
200,"[40, 20, 90, 10]"
201,[-5]
202,"[2, -0]"
203,"[2, -5, -5]"
204,"[1, 1, 1, 1, 1]"
205,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
206,"[40, 20, 90, 10]"
207,[-5]
208,"[2, -0]"
209,"[2, -5, -5]"
210,"[1, 1, 1, 1, 1]"
211,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
212,"[40, 20, 90, 10]"
213,[-5]
214,"[2, -0]"
215,"[2, -5, -5]"
216,"[1, 1, 1, 1, 1]"
217,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
218,"[40, 20, 90, 10]"
219,[-5]
220,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
221,"[40, 20, 90, 10]"
222,[-5]
223,"[2, -0]"
224,"[2, -5, -5]"
225,"[1, 1, 1, 1, 1]"
226,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
227,"[40, 20, 90, 10]"
228,[-5]
229,"[2, -0]"
230,"[2, -5, -5]"
231,"[1, 1, 1, 1, 1]"
232,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
233,"[40, 20, 90, 10]"
234,[-5]
235,"[2, -0]"
236,"[2, -5, -5]"
237,"[1, 1, 1, 1, 1]"
238,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
239,"[40, 20, 90, 10]"
240,[-5]
241,"[2, -0]"
242,"[2, -5, -5]"
243,"[1, 1, 1, 1, 1]"
244,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
245,"[40, 20, 90, 10]"
246,[-5]
247,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
248,"[40, 20, 90, 10]"
249,[-5]
250,"[2, -0]"
251,"[2, -5, -5]"
252,"[1, 1, 1, 1, 1]"
253,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
254,"[40, 20, 90, 10]"
255,[-5]
256,"[2, -0]"
257,"[2, -5, -5]"
258,"[1, 1, 1, 1, 1]"
259,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
260,"[40, 20, 90, 10]"
261,[-5]
262,"[2, -0]"
263,"[2, -5, -5]"
